Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Corozal Municipio, Puerto Rico",72,047,14752.0,38.1,36.9,39.3,698.0,6371.0,262.0,2972.0,1837.0,3142.0,0.0,92.0
"Maunabo Municipio, Puerto Rico",72,095,17636.0,43.5,42.9,44.0,320.0,1874.0,161.0,935.0,690.0,1156.0,0.0,13.0
"Peñuelas Municipio, Puerto Rico",72,111,16868.0,36.4,35.7,37.1,376.0,3991.0,297.0,1095.0,1712.0,2415.0,99.0,125.0
"Ponce Municipio, Puerto Rico",72,113,16561.0,39.5,36.5,42.1,2557.0,28670.0,1974.0,10273.0,8357.0,19156.0,1179.0,1714.0
"San Sebastián Municipio, Puerto Rico",72,131,14275.0,42.0,40.2,43.8,1251.0,6274.0,555.0,3116.0,2301.0,4135.0,116.0,71.0
"Toa Alta Municipio, Puerto Rico",72,135,29672.0,37.1,35.9,38.3,971.0,11708.0,900.0,6223.0,5036.0,11794.0,545.0,404.0
"Toa Baja Municipio, Puerto Rico",72,137,24583.0,38.9,37.3,40.9,1375.0,14218.0,1491.0,8090.0,5819.0,10258.0,545.0,339.0
"Vieques Municipio, Puerto Rico",72,147,16261.0,41.4,35.6,44.1,126.0,2111.0,59.0,461.0,564.0,985.0,18.0,218.0
"Yabucoa Municipio, Puerto Rico",72,151,15586.0,41.6,39.5,42.9,806.0,5125.0,885.0,3210.0,2870.0,3275.0,19.0,59.0
"Aguada Municipio, Puerto Rico",72,003,16199.0,41.0,39.9,42.1,871.0,5454.0,906.0,2501.0,3662.0,3718.0,174.0,332.0
"Caguas Municipio, Puerto Rico",72,025,24229.0,39.7,37.5,41.7,2009.0,21490.0,3471.0,10448.0,9693.0,19608.0,888.0,1506.0
"Canóvanas Municipio, Puerto Rico",72,029,19986.0,39.0,36.8,40.2,1072.0,8325.0,1650.0,2645.0,3260.0,4948.0,111.0,130.0
