State Name,Household Income,Median Age,Median Male Age,Median Female Age,No College Degree,No College Degree Percentage,Associates or Bachelors Degree,Associates or Bachelors Degree Percentage,Post Graduate Degree,Post Graduate Degree Percentage,White,White Percentage,Black or African American,Black or African American Percentage,American Indian and Alaska Native,American Indian and Alaska Native Percentage,Asian,Asian Percentage,Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander Percentage,Other,Other Percentage
Nevada,56859.0,43.02,42.57,43.74,948342.0,0.6484584835372825,466039.0,0.31866873259776707,48075.0,0.03287278386495047,1936453.0,0.7032977529518157,253013.0,0.0918914501759649,32426.0,0.011776755199953512,232502.0,0.08444208775364187,19019.0,0.006907484954910129,279977.0,0.10168446896371382
New Hampshire,64901.9,44.2,43.05,45.3,386958.0,0.5361660383005433,303312.0,0.42026678194794886,31443.0,0.043567179751507874,1244260.0,0.9529754346084502,18632.0,0.01427019939371566,2148.0,0.001645147504170311,33313.0,0.025514338364257715,289.0,0.000221344333661648,7016.0,0.0053735357957443676
New Jersey,77047.76,40.79,39.28,42.24,2521928.0,0.5469114667751557,1840395.0,0.3991125555113638,248895.0,0.05397597771348047,6085474.0,0.6969882374500349,1207356.0,0.13828223247929813,18006.0,0.0020622831029309023,844105.0,0.09667796726643836,3013.0,0.0003450882477580145,573146.0,0.06564419145353964
New Mexico,41197.21,41.61,40.47,42.68,624288.0,0.628452756416774,321645.0,0.32379076137563634,47440.0,0.0477564822075897,1547843.0,0.7675713819570692,42187.0,0.020920425321316747,197191.0,0.09778651218469601,29991.0,0.014872460137284247,1390.0,0.0006892974422601816,197944.0,0.09815992295737365
New York,58309.26,41.27,39.83,42.68,5398669.0,0.5460049787703404,3903105.0,0.3947481800909464,585808.0,0.05924684113871319,12638791.0,0.6579892797878739,3100685.0,0.16142505165241391,77130.0,0.004015472140494982,1652846.0,0.08604897012224257,7937.0,0.00041320889899012933,1730813.0,0.09010801739798446
North Carolina,44551.67,42.19,40.51,43.85,2891783.0,0.5755019950043793,1931601.0,0.38441343249215243,201417.0,0.040084572503468294,6937466.0,0.7078058899533208,2159427.0,0.22031893915216733,117998.0,0.012038931708308474,269164.0,0.02746188083132885,6393.0,0.0006522558891779188,310920.0,0.03172210246569662
North Dakota,59795.96,43.15,42.02,44.12,214491.0,0.5437571775156479,168272.0,0.4265871657781124,11698.0,0.029655656706239653,654024.0,0.8983426598208325,17365.0,0.023851908015285,39507.0,0.054265322773386956,10197.0,0.01400621399550021,341.0,0.00046838471829612356,6600.0,0.009065510676699164
Ohio,51742.2,40.78,39.52,42.04,3792469.0,0.6296928899993491,2013862.0,0.3343770464148472,216397.0,0.03593006358580364,9503779.0,0.8412669257564674,1428230.0,0.1264257787742286,21872.0,0.0019360919693256183,235878.0,0.02087973214797861,3499.0,0.0003097286851074588,103726.0,0.009181742666892331
Oklahoma,46219.86,39.31,38.12,40.6,1245437.0,0.6481037518024753,616745.0,0.32094337040365556,59481.0,0.030952877793869165,2828569.0,0.7869902842388764,283821.0,0.07896726912547021,289871.0,0.080650555345338,80670.0,0.022444743695327975,5543.0,0.0015422240523515925,105686.0,0.02940492354263583
Oregon,48502.5,43.77,42.7,44.76,1179719.0,0.5653046447963053,803739.0,0.3851403511378028,103415.0,0.04955500406589189,3416776.0,0.8895623311133172,76347.0,0.019877046459442594,45332.0,0.01180224855068898,166351.0,0.04330971165304118,15157.0,0.00394614579729094,121000.0,0.03150251642621915
