Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Jersey County, Illinois",17,083,56320.0,42.5,41.0,43.3,21512.0,103.0,28.0,88.0,22.0,50.0,85.0,4873.0,593.0,2317.0,1926.0,1970.0,78.0,91.0
"Putnam County, Illinois",17,155,64741.0,47.5,45.3,49.1,5600.0,24.0,0.0,21.0,0.0,27.0,7.0,1567.0,129.0,621.0,485.0,410.0,45.0,20.0
"De Witt County, Illinois",17,039,55411.0,42.8,41.4,44.4,14604.0,76.0,29.0,19.0,27.0,196.0,58.0,3577.0,692.0,1877.0,1023.0,1717.0,65.0,31.0
"Fayette County, Illinois",17,051,44541.0,41.4,39.5,43.6,20496.0,1132.0,63.0,106.0,0.0,28.0,184.0,5247.0,1124.0,2144.0,1372.0,1316.0,51.0,15.0
"Lee County, Illinois",17,103,58319.0,42.7,40.9,45.1,31494.0,1814.0,62.0,235.0,52.0,409.0,167.0,7426.0,1388.0,4037.0,2564.0,2727.0,224.0,132.0
"Logan County, Illinois",17,107,58271.0,40.6,39.1,42.5,26048.0,1998.0,38.0,237.0,4.0,329.0,107.0,6021.0,1469.0,3385.0,1854.0,2965.0,150.0,140.0
"Macoupin County, Illinois",17,117,53890.0,43.1,41.6,44.3,44586.0,358.0,38.0,200.0,2.0,89.0,217.0,10531.0,1983.0,4881.0,2862.0,4017.0,316.0,119.0
"Richland County, Illinois",17,159,46454.0,42.3,40.3,44.2,15397.0,71.0,61.0,117.0,0.0,97.0,45.0,2752.0,725.0,1408.0,1463.0,1735.0,101.0,30.0
"Saline County, Illinois",17,165,40722.0,42.0,39.0,44.5,22658.0,841.0,21.0,176.0,1.0,110.0,144.0,4116.0,1064.0,3180.0,2160.0,1865.0,75.0,80.0
"Washington County, Illinois",17,189,54520.0,43.0,42.1,44.5,13798.0,75.0,42.0,63.0,9.0,98.0,103.0,2952.0,491.0,1662.0,1346.0,1381.0,81.0,62.0
"Montgomery County, Illinois",17,135,47807.0,42.4,39.7,45.8,26832.0,1756.0,50.0,41.0,11.0,84.0,136.0,6712.0,1661.0,3060.0,1886.0,1858.0,108.0,124.0
"Whiteside County, Illinois",17,195,51969.0,42.9,41.9,43.8,53013.0,980.0,99.0,326.0,54.0,1278.0,490.0,12077.0,2376.0,6021.0,3663.0,4647.0,411.0,174.0
"Adams County, Illinois",17,001,48454.0,41.5,39.6,43.2,62209.0,2689.0,222.0,511.0,38.0,135.0,244.0,13943.0,2149.0,6992.0,3974.0,6821.0,574.0,283.0
"Clinton County, Illinois",17,027,64543.0,40.4,39.0,42.5,35288.0,1349.0,107.0,230.0,0.0,215.0,203.0,6990.0,1464.0,3922.0,3108.0,4136.0,203.0,69.0
"DeKalb County, Illinois",17,037,58343.0,30.7,30.1,31.6,88042.0,7766.0,61.0,2523.0,0.0,3459.0,413.0,13148.0,2800.0,10067.0,6657.0,11634.0,510.0,978.0
"Edwards County, Illinois",17,047,49632.0,43.6,42.0,44.6,6392.0,32.0,0.0,56.0,0.0,0.0,26.0,1442.0,195.0,566.0,910.0,400.0,24.0,7.0
"Jasper County, Illinois",17,079,56523.0,43.0,42.5,43.8,9470.0,38.0,6.0,1.0,0.0,15.0,22.0,2199.0,429.0,732.0,1004.0,786.0,48.0,22.0
"Jefferson County, Illinois",17,081,46109.0,40.9,39.7,42.6,33597.0,3277.0,36.0,439.0,0.0,106.0,140.0,6816.0,1617.0,4152.0,3196.0,2578.0,345.0,197.0
"Vermilion County, Illinois",17,183,44930.0,40.2,38.5,42.0,65453.0,11075.0,208.0,691.0,22.0,605.0,511.0,17296.0,4646.0,7013.0,5646.0,5532.0,281.0,85.0
"Will County, Illinois",17,197,80782.0,37.3,36.3,38.3,506111.0,77198.0,1252.0,36011.0,179.0,48169.0,4069.0,104671.0,14821.0,65555.0,36656.0,95679.0,6403.0,4653.0
"Williamson County, Illinois",17,199,48600.0,40.9,40.1,42.0,61999.0,2778.0,130.0,684.0,7.0,259.0,437.0,11142.0,3131.0,8520.0,5172.0,6288.0,728.0,455.0
"Clark County, Illinois",17,023,52068.0,43.0,41.1,43.8,15443.0,52.0,10.0,83.0,0.0,93.0,39.0,3604.0,642.0,1441.0,1453.0,1272.0,57.0,99.0
"Douglas County, Illinois",17,041,52261.0,37.9,37.4,38.7,19101.0,64.0,101.0,148.0,13.0,148.0,74.0,3783.0,653.0,1878.0,1087.0,1849.0,94.0,53.0
"Effingham County, Illinois",17,049,54655.0,39.1,37.0,40.9,33234.0,190.0,34.0,81.0,7.0,252.0,123.0,7400.0,1083.0,2701.0,3135.0,3741.0,228.0,82.0
"Fulton County, Illinois",17,057,48599.0,42.5,40.0,45.4,33695.0,1352.0,71.0,85.0,30.0,132.0,142.0,7188.0,1446.0,4180.0,2707.0,3121.0,186.0,105.0
"Greene County, Illinois",17,061,44502.0,42.7,41.6,43.6,12925.0,170.0,32.0,24.0,0.0,3.0,44.0,3254.0,706.0,1371.0,838.0,827.0,48.0,23.0
"Hamilton County, Illinois",17,065,47293.0,43.6,42.7,44.9,8193.0,49.0,7.0,10.0,0.0,0.0,38.0,1834.0,321.0,958.0,596.0,592.0,18.0,33.0
"Hardin County, Illinois",17,069,39524.0,46.8,44.2,47.9,3909.0,157.0,8.0,3.0,0.0,15.0,23.0,985.0,96.0,405.0,359.0,280.0,18.0,2.0
"Henry County, Illinois",17,073,55755.0,42.7,41.2,44.2,46509.0,878.0,60.0,283.0,0.0,1124.0,106.0,10258.0,1506.0,4723.0,3854.0,5307.0,425.0,105.0
"Johnson County, Illinois",17,087,45743.0,42.5,39.7,46.9,11302.0,1459.0,13.0,23.0,0.0,24.0,99.0,2238.0,757.0,1506.0,736.0,1022.0,76.0,23.0
"Knox County, Illinois",17,095,41972.0,42.2,39.6,45.3,44276.0,4569.0,176.0,538.0,0.0,987.0,310.0,10236.0,2526.0,5596.0,3817.0,4094.0,407.0,201.0
"Lake County, Illinois",17,097,82613.0,38.0,36.3,39.6,552121.0,47970.0,1359.0,50460.0,401.0,32945.0,5813.0,82684.0,13416.0,58950.0,28651.0,118151.0,15091.0,8226.0
"Livingston County, Illinois",17,105,54339.0,41.6,39.6,43.6,34170.0,1499.0,5.0,246.0,0.0,230.0,241.0,9543.0,1628.0,3630.0,2083.0,2482.0,232.0,189.0
"Massac County, Illinois",17,127,42168.0,43.8,42.0,44.9,13253.0,889.0,16.0,26.0,0.0,23.0,135.0,3024.0,513.0,1762.0,1216.0,937.0,26.0,23.0
"Scott County, Illinois",17,171,48542.0,43.7,43.0,44.7,5019.0,6.0,25.0,4.0,7.0,6.0,14.0,1632.0,125.0,455.0,309.0,356.0,30.0,13.0
"Tazewell County, Illinois",17,179,60874.0,40.8,39.3,42.1,129144.0,1663.0,180.0,1299.0,26.0,494.0,401.0,25572.0,4626.0,13690.0,10015.0,17038.0,910.0,619.0
"Cass County, Illinois",17,017,50156.0,40.2,38.0,41.8,11692.0,596.0,5.0,41.0,43.0,345.0,97.0,3511.0,486.0,908.0,567.0,832.0,52.0,14.0
"Warren County, Illinois",17,187,47278.0,39.1,37.5,40.2,15626.0,485.0,8.0,404.0,0.0,571.0,135.0,3303.0,528.0,1314.0,1057.0,1959.0,101.0,149.0
"Monroe County, Indiana",18,105,45689.0,28.8,27.9,29.9,124980.0,4502.0,287.0,9126.0,44.0,822.0,504.0,15165.0,2689.0,10053.0,5592.0,19422.0,2113.0,3978.0
"Fountain County, Indiana",18,045,46669.0,43.0,40.9,44.6,16223.0,60.0,43.0,17.0,0.0,47.0,121.0,4350.0,617.0,1728.0,938.0,1074.0,89.0,21.0
"Elkhart County, Indiana",18,039,52449.0,35.4,34.3,36.4,177691.0,11148.0,313.0,2091.0,135.0,5277.0,1960.0,37929.0,8134.0,16725.0,8353.0,15620.0,1385.0,600.0
"Starke County, Indiana",18,149,45526.0,41.7,41.6,41.8,22167.0,72.0,29.0,117.0,0.0,284.0,112.0,5141.0,1185.0,1933.0,1571.0,1193.0,65.0,88.0
"Crawford County, Indiana",18,025,40067.0,43.7,43.7,43.8,10309.0,21.0,87.0,14.0,0.0,0.0,96.0,2782.0,761.0,861.0,502.0,486.0,52.0,15.0
"Cass County, Indiana",18,017,45558.0,40.5,39.0,42.3,31845.0,526.0,157.0,603.0,43.0,4067.0,515.0,8732.0,1497.0,3464.0,2511.0,2334.0,95.0,141.0
"Greene County, Indiana",18,055,49648.0,42.8,42.4,43.2,31737.0,107.0,9.0,119.0,14.0,41.0,134.0,7692.0,1565.0,3289.0,2518.0,2102.0,197.0,38.0
"Marion County, Indiana",18,097,44869.0,34.3,33.2,35.3,588969.0,257736.0,2406.0,27173.0,425.0,34396.0,7895.0,142375.0,29920.0,90482.0,44118.0,118164.0,12789.0,6730.0
"Wayne County, Indiana",18,177,41813.0,41.1,39.3,43.1,60305.0,3438.0,124.0,664.0,0.0,733.0,405.0,14370.0,2956.0,6053.0,3939.0,4901.0,463.0,398.0
"Grant County, Indiana",18,053,42046.0,39.9,39.2,40.8,59505.0,5096.0,119.0,578.0,0.0,433.0,296.0,15146.0,3025.0,6077.0,3691.0,4637.0,330.0,366.0
"LaSalle County, Illinois",17,099,54693.0,41.8,40.6,43.5,103991.0,2777.0,296.0,871.0,24.0,1652.0,632.0,24228.0,3842.0,12432.0,7375.0,9067.0,808.0,478.0
"Clay County, Indiana",18,021,50924.0,40.9,40.4,41.5,25694.0,106.0,18.0,67.0,0.0,81.0,183.0,7122.0,1006.0,2276.0,2071.0,2031.0,183.0,59.0
"Hendricks County, Indiana",18,063,74245.0,37.6,36.8,38.6,139497.0,9890.0,339.0,4046.0,0.0,1723.0,569.0,25609.0,3384.0,15237.0,9898.0,24513.0,1530.0,1130.0
"Dubois County, Indiana",18,037,57307.0,40.2,39.1,41.5,39941.0,243.0,103.0,269.0,0.0,1439.0,290.0,10273.0,703.0,3170.0,3610.0,4394.0,260.0,91.0
"Franklin County, Indiana",18,047,55588.0,42.3,41.2,42.8,22600.0,49.0,6.0,63.0,0.0,35.0,60.0,5877.0,763.0,1515.0,1526.0,2001.0,68.0,154.0
"Hancock County, Indiana",18,059,70973.0,40.2,39.1,41.9,69182.0,1365.0,73.0,562.0,18.0,156.0,223.0,13402.0,2654.0,6746.0,4842.0,10029.0,653.0,284.0
"Jackson County, Indiana",18,071,49080.0,38.2,37.6,39.2,40264.0,472.0,162.0,812.0,0.0,1605.0,195.0,10817.0,2151.0,3483.0,2429.0,3112.0,172.0,110.0
"Howard County, Indiana",18,067,47958.0,41.5,39.2,42.8,72414.0,6016.0,368.0,1041.0,33.0,672.0,583.0,17607.0,3335.0,9086.0,5001.0,7467.0,668.0,180.0
"Ohio County, Indiana",18,115,58359.0,46.8,46.0,48.3,5747.0,77.0,5.0,20.0,0.0,37.0,71.0,1587.0,352.0,506.0,477.0,384.0,20.0,20.0
"Owen County, Indiana",18,119,48315.0,44.6,44.2,45.1,20391.0,159.0,60.0,95.0,0.0,0.0,117.0,5078.0,1333.0,2215.0,991.0,1024.0,158.0,38.0
"Parke County, Indiana",18,121,44643.0,42.2,42.4,42.1,16357.0,165.0,32.0,0.0,92.0,74.0,191.0,4220.0,924.0,1532.0,1103.0,1056.0,30.0,35.0
"Randolph County, Indiana",18,135,44985.0,42.1,40.9,43.2,24303.0,164.0,10.0,60.0,0.0,265.0,135.0,6607.0,893.0,2163.0,1408.0,1368.0,81.0,92.0
"Whitley County, Indiana",18,183,57041.0,41.0,39.5,42.8,32330.0,146.0,105.0,171.0,0.0,87.0,150.0,8108.0,1310.0,3016.0,2283.0,2880.0,213.0,98.0
"Benton County, Indiana",18,007,49183.0,40.9,37.9,42.8,8482.0,76.0,1.0,14.0,0.0,21.0,31.0,2262.0,328.0,864.0,439.0,744.0,29.0,11.0
"Brown County, Indiana",18,013,59292.0,49.3,47.4,50.6,14537.0,80.0,0.0,119.0,0.0,45.0,51.0,3131.0,773.0,1627.0,877.0,1421.0,180.0,88.0
"Clinton County, Indiana",18,023,51659.0,38.2,36.8,39.7,30811.0,296.0,63.0,90.0,37.0,839.0,228.0,8064.0,1429.0,2450.0,1621.0,2297.0,115.0,26.0
"Putnam County, Indiana",18,133,55295.0,37.8,37.0,39.6,35200.0,1177.0,73.0,380.0,10.0,178.0,233.0,8627.0,2029.0,3522.0,2158.0,2210.0,190.0,366.0
"Union County, Indiana",18,161,45531.0,43.3,38.6,45.3,6925.0,8.0,0.0,34.0,0.0,1.0,2.0,2050.0,304.0,660.0,263.0,582.0,36.0,41.0
"Washington County, Indiana",18,175,46861.0,41.2,40.0,43.1,27306.0,25.0,89.0,48.0,0.0,22.0,163.0,7051.0,1602.0,2500.0,1671.0,1425.0,89.0,46.0
"Daviess County, Indiana",18,027,48355.0,34.6,32.7,36.7,31215.0,603.0,11.0,68.0,11.0,554.0,375.0,5990.0,954.0,1956.0,2187.0,1875.0,103.0,51.0
"Dearborn County, Indiana",18,029,62905.0,42.7,41.9,43.2,48140.0,403.0,120.0,194.0,0.0,295.0,225.0,11726.0,1875.0,4796.0,3157.0,4855.0,387.0,130.0
"Henry County, Indiana",18,065,46131.0,42.2,40.6,44.4,46212.0,1118.0,123.0,228.0,12.0,174.0,298.0,12017.0,3022.0,4580.0,2688.0,3791.0,259.0,170.0
"Knox County, Indiana",18,083,44837.0,38.1,35.2,41.5,35557.0,1188.0,24.0,309.0,39.0,188.0,115.0,7292.0,1466.0,3190.0,4205.0,2532.0,148.0,194.0
"Lawrence County, Indiana",18,093,49985.0,42.6,41.5,44.2,44113.0,148.0,208.0,191.0,21.0,277.0,220.0,11162.0,2327.0,4321.0,3450.0,3195.0,186.0,191.0
"Madison County, Indiana",18,095,45432.0,40.2,38.8,41.9,113988.0,9926.0,273.0,628.0,64.0,1216.0,687.0,29160.0,5835.0,13347.0,7966.0,10584.0,648.0,501.0
"Perry County, Indiana",18,123,49689.0,41.9,39.6,44.1,18173.0,547.0,45.0,55.0,0.0,54.0,158.0,5081.0,1542.0,1255.0,1286.0,1002.0,153.0,54.0
"Pike County, Indiana",18,125,50196.0,43.9,43.4,44.1,12120.0,119.0,0.0,127.0,0.0,19.0,71.0,3265.0,484.0,1172.0,946.0,739.0,40.0,9.0
"Pulaski County, Indiana",18,131,47633.0,41.8,40.6,43.4,12243.0,59.0,19.0,81.0,0.0,150.0,121.0,3640.0,487.0,1430.0,519.0,727.0,56.0,12.0
"Posey County, Indiana",18,129,60992.0,42.5,42.1,43.2,24809.0,390.0,5.0,111.0,0.0,28.0,61.0,6132.0,581.0,2960.0,2016.0,2388.0,232.0,114.0
"Steuben County, Indiana",18,151,52749.0,42.7,42.2,43.3,33515.0,82.0,25.0,165.0,11.0,73.0,104.0,7794.0,1043.0,3242.0,2422.0,3003.0,192.0,182.0
"Warren County, Indiana",18,171,58950.0,44.6,44.2,44.8,8100.0,39.0,20.0,1.0,0.0,9.0,47.0,2285.0,306.0,586.0,647.0,767.0,63.0,54.0
"Vermillion County, Indiana",18,165,45440.0,43.2,41.4,45.0,15321.0,66.0,43.0,31.0,0.0,34.0,44.0,4282.0,772.0,1491.0,1109.0,985.0,38.0,28.0
"Wells County, Indiana",18,179,53038.0,39.8,38.1,42.2,26887.0,227.0,47.0,142.0,0.0,277.0,88.0,6567.0,724.0,2739.0,2364.0,2368.0,147.0,81.0
"Floyd County, Indiana",18,043,59451.0,39.9,38.9,40.7,69030.0,4018.0,351.0,837.0,0.0,646.0,480.0,13770.0,2289.0,7484.0,4460.0,9263.0,850.0,415.0
"Allen County, Indiana",18,003,51091.0,35.7,34.8,36.8,292318.0,42092.0,728.0,12910.0,151.0,6581.0,2615.0,59281.0,10009.0,36932.0,24393.0,42678.0,3936.0,1748.0
"Decatur County, Indiana",18,031,52270.0,38.8,37.7,39.7,25436.0,177.0,93.0,419.0,0.0,106.0,93.0,6688.0,1089.0,2087.0,1534.0,2281.0,217.0,75.0
"Delaware County, Indiana",18,035,41208.0,35.4,33.9,37.2,102569.0,8463.0,88.0,1563.0,115.0,625.0,593.0,20930.0,3965.0,10700.0,6383.0,9852.0,835.0,1250.0
"Miami County, Indiana",18,103,46666.0,39.9,38.3,41.2,32758.0,1833.0,289.0,203.0,28.0,375.0,277.0,8399.0,1836.0,3936.0,2124.0,1944.0,114.0,90.0
"Jefferson County, Indiana",18,077,50722.0,40.6,40.3,40.9,30784.0,662.0,85.0,263.0,0.0,113.0,156.0,7140.0,1743.0,3312.0,1896.0,2324.0,115.0,187.0
"Jennings County, Indiana",18,079,48362.0,39.6,39.0,41.0,27040.0,380.0,62.0,123.0,0.0,155.0,230.0,7328.0,1269.0,2542.0,1467.0,1375.0,16.0,21.0
"Johnson County, Indiana",18,081,65272.0,37.3,36.4,38.4,137508.0,3517.0,288.0,4221.0,16.0,2141.0,671.0,26131.0,5051.0,13374.0,8672.0,20575.0,1334.0,843.0
"Morgan County, Indiana",18,109,60317.0,41.5,40.4,42.2,67705.0,275.0,39.0,475.0,0.0,161.0,392.0,16733.0,3002.0,6182.0,4942.0,5093.0,322.0,127.0
"Gibson County, Indiana",18,051,51149.0,40.5,38.8,42.5,31920.0,688.0,29.0,103.0,0.0,262.0,144.0,8075.0,1181.0,3086.0,2878.0,2568.0,121.0,124.0
"Newton County, Indiana",18,111,52193.0,42.5,42.4,43.0,13437.0,18.0,21.0,84.0,0.0,245.0,104.0,3845.0,647.0,1521.0,874.0,744.0,45.0,20.0
"Orange County, Indiana",18,117,42803.0,41.3,40.4,42.8,18965.0,254.0,26.0,104.0,0.0,53.0,189.0,5121.0,1014.0,1601.0,807.0,960.0,46.0,41.0
"St. Joseph County, Indiana",18,141,48121.0,36.5,35.4,37.7,212328.0,34814.0,1152.0,5822.0,273.0,5782.0,1712.0,44929.0,8646.0,24281.0,13527.0,30387.0,3033.0,3136.0
"Kosciusko County, Indiana",18,085,57190.0,38.0,36.6,39.3,73942.0,637.0,205.0,819.0,12.0,1659.0,644.0,15694.0,2680.0,6101.0,3956.0,7526.0,494.0,314.0
"Marshall County, Indiana",18,099,51869.0,39.8,38.1,41.2,43191.0,331.0,123.0,227.0,0.0,2029.0,219.0,10461.0,1758.0,3366.0,2608.0,3823.0,364.0,112.0
"Switzerland County, Indiana",18,155,43468.0,40.0,39.5,40.5,10257.0,87.0,0.0,50.0,0.0,48.0,104.0,2995.0,488.0,783.0,517.0,451.0,8.0,23.0
"Vanderburgh County, Indiana",18,163,44815.0,37.9,36.8,39.5,155761.0,16632.0,374.0,2246.0,261.0,1766.0,909.0,34499.0,5761.0,18573.0,10822.0,20697.0,1773.0,1054.0
"Blackford County, Indiana",18,009,40622.0,43.7,42.6,46.0,11901.0,29.0,25.0,55.0,0.0,2.0,53.0,3829.0,468.0,1046.0,696.0,506.0,40.0,59.0
"Carroll County, Indiana",18,015,56188.0,42.3,41.0,43.7,19264.0,108.0,53.0,26.0,4.0,297.0,119.0,5081.0,711.0,2113.0,1211.0,1528.0,109.0,62.0
"Scott County, Indiana",18,143,49243.0,40.7,39.9,41.2,23142.0,76.0,46.0,95.0,0.0,46.0,125.0,5719.0,1111.0,2229.0,1468.0,1279.0,92.0,87.0
"Harrison County, Indiana",18,061,53897.0,42.7,41.6,43.4,38168.0,94.0,220.0,143.0,0.0,311.0,124.0,9790.0,1920.0,3835.0,2226.0,2893.0,127.0,42.0
"Huntington County, Indiana",18,069,50063.0,40.3,39.1,41.6,35247.0,318.0,97.0,300.0,0.0,247.0,190.0,9099.0,1714.0,3125.0,2313.0,2771.0,144.0,192.0
"LaPorte County, Indiana",18,091,49921.0,40.2,38.2,42.6,92156.0,12230.0,313.0,646.0,38.0,2251.0,578.0,23930.0,6061.0,11424.0,6969.0,8931.0,803.0,432.0
"Wabash County, Indiana",18,169,49052.0,42.0,40.8,43.7,30493.0,279.0,217.0,66.0,0.0,344.0,159.0,8052.0,1105.0,2735.0,1708.0,2388.0,171.0,162.0
"White County, Indiana",18,181,51404.0,42.0,40.7,43.3,22329.0,112.0,61.0,45.0,0.0,1322.0,103.0,5963.0,929.0,2474.0,1667.0,1781.0,100.0,18.0
"Jasper County, Indiana",18,073,56574.0,39.0,38.2,39.9,31764.0,239.0,41.0,119.0,0.0,752.0,222.0,8134.0,1234.0,3395.0,1905.0,2132.0,179.0,72.0
"Jay County, Indiana",18,075,42878.0,39.8,37.3,41.7,20584.0,70.0,29.0,111.0,1.0,92.0,170.0,5805.0,832.0,1586.0,1065.0,916.0,41.0,51.0
"Martin County, Indiana",18,101,49372.0,42.0,41.3,43.6,9966.0,56.0,74.0,20.0,25.0,10.0,40.0,2584.0,453.0,718.0,922.0,457.0,33.0,51.0
"Porter County, Indiana",18,127,65979.0,39.4,38.2,40.5,153279.0,6072.0,353.0,2330.0,187.0,1704.0,589.0,34578.0,4468.0,16838.0,10794.0,19582.0,1823.0,1458.0
"Shelby County, Indiana",18,145,57216.0,41.3,40.4,42.3,41859.0,427.0,52.0,290.0,0.0,1074.0,139.0,11113.0,2079.0,3521.0,2480.0,3670.0,260.0,122.0
"Ripley County, Indiana",18,137,53698.0,40.6,39.4,41.8,27567.0,137.0,149.0,276.0,0.0,78.0,163.0,7292.0,990.0,2179.0,1641.0,2350.0,168.0,75.0
"Spencer County, Indiana",18,147,55280.0,43.2,42.5,44.1,19938.0,128.0,53.0,47.0,16.0,211.0,97.0,5659.0,732.0,1779.0,1462.0,1479.0,101.0,94.0
"Sullivan County, Indiana",18,153,45031.0,41.4,40.4,42.8,19497.0,811.0,36.0,165.0,0.0,48.0,67.0,5497.0,1023.0,1781.0,1867.0,1271.0,54.0,16.0
"Tipton County, Indiana",18,159,53931.0,44.5,43.4,45.7,14701.0,29.0,3.0,0.0,56.0,195.0,14.0,4000.0,557.0,1291.0,857.0,1515.0,21.0,12.0
"Tippecanoe County, Indiana",18,157,50486.0,28.1,26.7,29.8,154732.0,8844.0,319.0,14891.0,64.0,3075.0,876.0,22037.0,4170.0,15623.0,8264.0,21124.0,1671.0,4329.0
"Vigo County, Indiana",18,167,42030.0,36.1,34.6,37.9,94177.0,6639.0,206.0,2031.0,44.0,706.0,562.0,17845.0,4428.0,10817.0,5810.0,10051.0,790.0,946.0
"Warrick County, Indiana",18,173,66080.0,40.5,38.9,42.2,57941.0,968.0,108.0,1519.0,14.0,229.0,168.0,11193.0,2226.0,6177.0,4163.0,7662.0,937.0,465.0
"Hamilton County, Indiana",18,057,90582.0,36.6,35.8,37.2,270595.0,11244.0,455.0,17933.0,9.0,2527.0,836.0,26860.0,3462.0,24723.0,13008.0,73578.0,7898.0,4837.0
"DeKalb County, Indiana",18,033,51374.0,39.1,38.3,40.0,41354.0,126.0,23.0,129.0,0.0,146.0,175.0,9774.0,1764.0,3904.0,2847.0,3503.0,202.0,87.0
"LaGrange County, Indiana",18,087,58336.0,31.5,30.1,32.7,37883.0,27.0,20.0,93.0,7.0,37.0,311.0,6372.0,1106.0,2055.0,1316.0,1556.0,29.0,36.0
"Bartholomew County, Indiana",18,005,57331.0,38.1,36.6,39.3,69237.0,1558.0,195.0,5066.0,64.0,3379.0,507.0,15163.0,3223.0,6200.0,4799.0,10155.0,454.0,721.0
"Rush County, Indiana",18,139,47955.0,41.6,41.6,41.7,16297.0,238.0,0.0,14.0,0.0,85.0,34.0,4568.0,731.0,1344.0,666.0,1122.0,66.0,28.0
"Boone County, Indiana",18,011,75591.0,38.4,37.3,39.6,59037.0,1014.0,115.0,1639.0,0.0,174.0,343.0,8309.0,1375.0,4509.0,2808.0,11596.0,1721.0,1244.0
"Fulton County, Indiana",18,049,47108.0,41.9,41.2,43.1,19184.0,212.0,103.0,85.0,12.0,495.0,86.0,4899.0,895.0,2077.0,1109.0,1166.0,28.0,28.0
"Lake County, Indiana",18,089,52559.0,38.6,37.2,40.2,302770.0,118873.0,1435.0,6701.0,206.0,44677.0,3552.0,100096.0,13637.0,53304.0,27476.0,47030.0,3469.0,1567.0
"Montgomery County, Indiana",18,107,53075.0,40.5,38.6,42.2,36742.0,308.0,72.0,295.0,7.0,96.0,165.0,9462.0,1455.0,3652.0,2057.0,3270.0,238.0,169.0
"Noble County, Indiana",18,113,52393.0,38.5,38.1,39.2,46033.0,183.0,13.0,311.0,1.0,195.0,265.0,10997.0,2087.0,4134.0,2807.0,3051.0,175.0,127.0
"Adams County, Indiana",18,001,48290.0,33.3,31.6,35.8,33935.0,328.0,16.0,132.0,0.0,458.0,160.0,7607.0,951.0,2691.0,1847.0,2116.0,177.0,42.0
"Clark County, Indiana",18,019,52834.0,38.8,37.7,39.7,101423.0,7681.0,128.0,883.0,15.0,902.0,627.0,22227.0,5268.0,12947.0,7732.0,10961.0,657.0,432.0
"Fayette County, Indiana",18,041,41476.0,42.4,40.7,44.4,22538.0,589.0,0.0,31.0,0.0,151.0,159.0,5585.0,1534.0,1977.0,1331.0,1228.0,89.0,33.0
"Delaware County, Iowa",19,055,60534.0,43.4,43.1,43.8,17003.0,48.0,10.0,67.0,0.0,15.0,80.0,4707.0,332.0,1374.0,1409.0,1354.0,66.0,85.0
"Jefferson County, Iowa",19,101,44516.0,40.9,36.3,44.9,14939.0,1052.0,1.0,930.0,0.0,358.0,56.0,3052.0,524.0,1760.0,1464.0,2434.0,207.0,238.0
"Wayne County, Iowa",19,185,42434.0,43.3,42.3,44.4,6213.0,43.0,19.0,3.0,0.0,0.0,40.0,1766.0,224.0,506.0,442.0,416.0,43.0,6.0
"Allamakee County, Iowa",19,005,47895.0,45.0,42.8,46.9,13493.0,132.0,19.0,40.0,3.0,41.0,15.0,3479.0,390.0,1181.0,1045.0,1208.0,104.0,41.0
"Linn County, Iowa",19,113,62702.0,37.4,36.4,38.2,195466.0,10863.0,342.0,4991.0,134.0,2074.0,890.0,34556.0,5467.0,21246.0,18139.0,33089.0,2174.0,1659.0
"Scott County, Iowa",19,163,57681.0,38.1,37.0,39.1,147392.0,13553.0,528.0,4364.0,18.0,1483.0,962.0,29321.0,4822.0,15152.0,12070.0,23088.0,2166.0,1400.0
"Dallas County, Iowa",19,049,82719.0,35.1,34.3,35.9,73860.0,1077.0,51.0,3407.0,47.0,701.0,253.0,8812.0,942.0,6176.0,5260.0,18159.0,1585.0,643.0
"O'Brien County, Iowa",19,141,56314.0,43.3,40.8,46.1,13191.0,129.0,42.0,124.0,3.0,361.0,42.0,3218.0,308.0,1490.0,1275.0,1435.0,172.0,51.0
"Benton County, Iowa",19,011,64061.0,42.1,41.1,42.7,25070.0,174.0,33.0,89.0,0.0,51.0,103.0,5602.0,622.0,2385.0,2408.0,2764.0,161.0,35.0
"Butler County, Iowa",19,023,53937.0,43.7,42.4,45.5,14488.0,36.0,48.0,63.0,9.0,8.0,41.0,3762.0,376.0,1565.0,1434.0,1286.0,85.0,38.0
"Dubuque County, Iowa",19,061,59150.0,38.6,36.9,40.3,90019.0,2791.0,133.0,1209.0,357.0,379.0,358.0,19094.0,2214.0,8514.0,5952.0,12576.0,1098.0,746.0
"Fremont County, Iowa",19,071,54430.0,46.0,44.3,46.8,6716.0,50.0,35.0,0.0,0.0,101.0,22.0,1553.0,228.0,841.0,593.0,682.0,33.0,38.0
"Hamilton County, Iowa",19,079,55836.0,42.6,41.8,43.4,14262.0,174.0,7.0,459.0,0.0,260.0,58.0,2935.0,334.0,1708.0,1660.0,1784.0,126.0,63.0
"Pocahontas County, Iowa",19,151,45969.0,47.2,45.4,48.3,6707.0,126.0,0.0,41.0,8.0,27.0,14.0,1835.0,131.0,690.0,745.0,648.0,32.0,22.0
